frontend_sha	client	operation_id	http_method	path	usage	call_sites
5eab200650ecc2f111b94fea31f56a2f50a6ad22	internal	fetchCNAGenesUsingPOST	POST	/api/cna-genes/fetch	production	src/pages/patientView/mrna/ReferenceCohortModal.tsx:445
5eab200650ecc2f111b94fea31f56a2f50a6ad22	internal	fetchClinicalDataClinicalTableUsingPOST	POST	/api/clinical-data-table/fetch	production	src/pages/studyView/StudyViewUtils.tsx:3341
5eab200650ecc2f111b94fea31f56a2f50a6ad22	internal	fetchClinicalDataCountsUsingPOST	POST	/api/clinical-data-counts/fetch	production	src/pages/patientView/mrna/ReferenceCohortModal.tsx:349
5eab200650ecc2f111b94fea31f56a2f50a6ad22	internal	fetchCoExpressionsUsingPOST	POST	/api/molecular-profiles/co-expressions/fetch	production	src/pages/patientView/clinicalInformation/PatientViewPlotsStore.ts:932,src/pages/resultsView/coExpression/CoExpressionTab.tsx:321
5eab200650ecc2f111b94fea31f56a2f50a6ad22	internal	fetchCopyNumberCountsUsingPOST	POST	/api/molecular-profiles/{molecularProfileId}/discrete-copy-number-counts/fetch	production	src/pages/patientView/clinicalInformation/CopyNumberCountCache.ts:22,src/shared/lib/StoreUtils.ts:697
5eab200650ecc2f111b94fea31f56a2f50a6ad22	internal	fetchCorrelatedGenesUsingPOST	POST	/api/genesets/{genesetId}/expression-correlation/fetch	production+test	src/shared/cache/GenesetCorrelatedGeneCache.spec.ts:115,src/shared/cache/GenesetCorrelatedGeneCache.spec.ts:12,src/shared/cache/GenesetCorrelatedGeneCache.spec.ts:137,src/shared/cache/GenesetCorrelatedGeneCache.spec.ts:17,src/shared/cache/GenesetCorrelatedGeneCache.spec.ts:194,src/shared/cache/GenesetCorrelatedGeneCache.spec.ts:252,src/shared/cache/GenesetCorrelatedGeneCache.spec.ts:315,src/shared/cache/GenesetCorrelatedGeneCache.spec.ts:66,src/shared/cache/GenesetCorrelatedGeneCache.ts:25
5eab200650ecc2f111b94fea31f56a2f50a6ad22	internal	fetchFilteredSamplesUsingPOST	POST	/api/filtered-samples/fetch	production	src/pages/patientView/clinicalInformation/PatientViewPlotsStore.ts:854,src/pages/patientView/mrna/ReferenceCohortModal.tsx:413,src/pages/studyView/StudyViewUtils.tsx:2681
5eab200650ecc2f111b94fea31f56a2f50a6ad22	internal	fetchGenericAssayDataCountsUsingPOST	POST	/api/generic-assay-data-counts/fetch	production	src/pages/studyView/StudyViewUtils.tsx:4638
5eab200650ecc2f111b94fea31f56a2f50a6ad22	internal	fetchGenesetHierarchyInfoUsingPOST	POST	/api/geneset-hierarchy/fetch	production	src/shared/lib/StoreUtils.ts:1402
5eab200650ecc2f111b94fea31f56a2f50a6ad22	internal	fetchGenesetsUsingPOST	POST	/api/genesets/fetch	production	src/pages/resultsView/ResultsViewPageStore.ts:4787,src/pages/resultsView/ResultsViewPageStore.ts:4891,src/pages/resultsView/coExpression/CoExpressionTab.tsx:340,src/shared/cache/GenesetCache.ts:14,src/shared/components/query/QueryStore.ts:1311
5eab200650ecc2f111b94fea31f56a2f50a6ad22	internal	fetchGeneticDataItemsUsingPOST	POST	/api/genetic-profiles/{geneticProfileId}/geneset-genetic-data/fetch	production	src/pages/resultsView/ResultsViewPageStore.ts:5713,src/shared/cache/GenesetMolecularDataCache.ts:76
5eab200650ecc2f111b94fea31f56a2f50a6ad22	internal	fetchGenomicDataCountsUsingPOST	POST	/api/genomic-data-counts/fetch	production	src/pages/studyView/StudyViewUtils.tsx:4778
5eab200650ecc2f111b94fea31f56a2f50a6ad22	internal	fetchMrnaPercentileUsingPOST	POST	/api/molecular-profiles/{molecularProfileId}/mrna-percentile/fetch	production	src/pages/patientView/clinicalInformation/PatientViewPlotsStore.ts:1147,src/shared/cache/MrnaExprRankCache.ts:27
5eab200650ecc2f111b94fea31f56a2f50a6ad22	internal	fetchMutatedGenesUsingPOST	POST	/api/mutated-genes/fetch	production	src/pages/patientView/clinicalInformation/PatientViewPlotsStore.ts:764,src/pages/patientView/mrna/ReferenceCohortModal.tsx:439
5eab200650ecc2f111b94fea31f56a2f50a6ad22	internal	fetchMutationCountsByPositionUsingPOST	POST	/api/mutation-counts-by-position/fetch	production	src/pages/staticPages/tools/oncoprinter/OncoprinterStore.ts:546,src/shared/lib/comparison/AnalysisStore.ts:302
