backend	loaded_in_starrocks	namespace	statement_id	command	tables	source	integration_test_methods	starrocks_test_methods	starrocks_verification
clickhouse	false	org.cbioportal.infrastructure.repository.clickhouse.alteration.ClickhouseAlterationMapper	getAllMolecularProfiles	SELECT	cancer_study,genetic_profile,reference_genome	src/main/resources/mappers/clickhouse/alteration/ClickhouseAlterationMapper.xml	UNVERIFIED	UNVERIFIED	NOT_APPLICABLE
clickhouse	false	org.cbioportal.infrastructure.repository.clickhouse.alteration.ClickhouseAlterationMapper	getAlterationCountByGeneGivenPatientsAndMolecularProfiles	SELECT	genomic_event_derived	src/main/resources/mappers/clickhouse/alteration/ClickhouseAlterationMapper.xml	UNVERIFIED	UNVERIFIED	NOT_APPLICABLE
clickhouse	false	org.cbioportal.infrastructure.repository.clickhouse.alteration.ClickhouseAlterationMapper	getAlterationCountByGeneGivenSamplesAndMolecularProfiles	SELECT	genomic_event_derived	src/main/resources/mappers/clickhouse/alteration/ClickhouseAlterationMapper.xml	UNVERIFIED	UNVERIFIED	NOT_APPLICABLE
clickhouse	false	org.cbioportal.infrastructure.repository.clickhouse.alteration.ClickhouseAlterationMapper	getCnaGenes	SELECT	cancer_study,clinical_attribute_meta,clinical_data_derived,clinical_event_data_derived,gene_panel_to_gene_derived,generic_assay_data_derived,genetic_alteration_derived,genetic_profile,genomic_event_derived,sample_derived,sample_list,sample_list_list,sample_profile,sample_to_gene_panel_derived	src/main/resources/mappers/clickhouse/alteration/ClickhouseAlterationMapper.xml	ClickhouseAlterationMapperTest#getCnaGenes,ClickhouseAlterationMapperTest#getCnaGenesWithAlterationFilter,ClickhouseAlterationMapperTest#testCnaGenesOnPanelCount	UNVERIFIED	NOT_APPLICABLE
clickhouse	false	org.cbioportal.infrastructure.repository.clickhouse.alteration.ClickhouseAlterationMapper	getEntityToGenePanels	SELECT	sample_derived,sample_to_gene_panel_derived	src/main/resources/mappers/clickhouse/alteration/ClickhouseAlterationMapper.xml	UNVERIFIED	UNVERIFIED	NOT_APPLICABLE
clickhouse	false	org.cbioportal.infrastructure.repository.clickhouse.alteration.ClickhouseAlterationMapper	getGenePanelGenes	SELECT	gene,gene_panel_to_gene_derived	src/main/resources/mappers/clickhouse/alteration/ClickhouseAlterationMapper.xml	UNVERIFIED	UNVERIFIED	NOT_APPLICABLE
clickhouse	false	org.cbioportal.infrastructure.repository.clickhouse.alteration.ClickhouseAlterationMapper	getMatchingGenePanelIds	SELECT	cancer_study,clinical_attribute_meta,clinical_data_derived,clinical_event_data_derived,gene_panel_to_gene_derived,generic_assay_data_derived,genetic_alteration_derived,genetic_profile,genomic_event_derived,sample_derived,sample_list,sample_list_list,sample_profile,sample_to_gene_panel_derived	src/main/resources/mappers/clickhouse/alteration/ClickhouseAlterationMapper.xml	UNVERIFIED	UNVERIFIED	NOT_APPLICABLE
clickhouse	false	org.cbioportal.infrastructure.repository.clickhouse.alteration.ClickhouseAlterationMapper	getMutatedGenes	SELECT	cancer_study,clinical_attribute_meta,clinical_data_derived,clinical_event_data_derived,gene_panel_to_gene_derived,generic_assay_data_derived,genetic_alteration_derived,genetic_profile,genomic_event_derived,sample_derived,sample_list,sample_list_list,sample_profile,sample_to_gene_panel_derived	src/main/resources/mappers/clickhouse/alteration/ClickhouseAlterationMapper.xml	ClickhouseAlterationMapperTest#getMutatedGenes,ClickhouseAlterationMapperTest#getMutatedGenesWithAlterationFilter,ClickhouseAlterationMapperTest#testMutatedGenesOnPanelCount	UNVERIFIED	NOT_APPLICABLE
clickhouse	false	org.cbioportal.infrastructure.repository.clickhouse.alteration.ClickhouseAlterationMapper	getSampleProfileCountWithoutPanelData	SELECT	cancer_study,clinical_attribute_meta,clinical_data_derived,clinical_event_data_derived,gene_panel_to_gene_derived,generic_assay_data_derived,genetic_alteration_derived,genetic_profile,genomic_event_derived,sample_derived,sample_list,sample_list_list,sample_profile,sample_to_gene_panel_derived	src/main/resources/mappers/clickhouse/alteration/ClickhouseAlterationMapper.xml	ClickhouseAlterationMapperTest#getTotalProfiledCountsByGene	UNVERIFIED	NOT_APPLICABLE
clickhouse	false	org.cbioportal.infrastructure.repository.clickhouse.alteration.ClickhouseAlterationMapper	getStructuralVariantGenes	SELECT	cancer_study,clinical_attribute_meta,clinical_data_derived,clinical_event_data_derived,gene_panel_to_gene_derived,generic_assay_data_derived,genetic_alteration_derived,genetic_profile,genomic_event_derived,sample_derived,sample_list,sample_list_list,sample_profile,sample_to_gene_panel_derived	src/main/resources/mappers/clickhouse/alteration/ClickhouseAlterationMapper.xml	ClickhouseAlterationMapperTest#getStructuralVariantGenes,ClickhouseAlterationMapperTest#testStructuralVariantGenesOnPanelCount	UNVERIFIED	NOT_APPLICABLE
