table	mapper_count	mappers
allele_specific_copy_number	1	src/main/resources/mappers/clickhouse/mutation/ClickhouseMutationDataMapper.xml
alteration_driver_annotation	6	src/main/resources/mappers/clickhouse/mutation/ClickhouseMutationDataMapper.xml,src/main/resources/mappers/starrocks/studyview/StarrocksStudyViewFilterMapper.xml,src/main/resources/org/cbioportal/legacy/persistence/mybatis/AlterationCountsMapper.xml,src/main/resources/org/cbioportal/legacy/persistence/mybatis/AlterationDriverAnnotationMapper.xml,src/main/resources/org/cbioportal/legacy/persistence/mybatis/DiscreteCopyNumberMapper.xml,src/main/resources/org/cbioportal/legacy/persistence/mybatis/StructuralVariantMapper.xml
authorities	1	src/main/resources/org/cbioportal/legacy/persistence/mybatis/SecurityMapper.xml
cancer_study	36	src/main/resources/mappers/clickhouse/alteration/ClickhouseAlterationMapper.xml,src/main/resources/mappers/clickhouse/cancerstudy/CancerStudyMapper.xml,src/main/resources/mappers/clickhouse/clinical_attributes/ClickhouseClinicalAttributesMapper.xml,src/main/resources/mappers/clickhouse/clinical_data/ClickhouseClinicalDataMapper.xml,src/main/resources/mappers/clickhouse/generic_assay/GenericAssayMapper.xml,src/main/resources/mappers/clickhouse/mutation/ClickhouseMutationDataMapper.xml,src/main/resources/mappers/clickhouse/sample/ClickhouseSampleMapper.xml,src/main/resources/mappers/clickhouse/studyview/ClickhouseStudyViewFilterMapper.xml,src/main/resources/mappers/starrocks/alteration/StarrocksAlterationMapper.xml,src/main/resources/mappers/starrocks/cancerstudy/StarrocksCancerStudyMapper.xml,src/main/resources/mappers/starrocks/clinical_attributes/StarrocksClinicalAttributesMapper.xml,src/main/resources/mappers/starrocks/clinical_data/StarrocksClinicalDataMapper.xml,src/main/resources/mappers/starrocks/generic_assay/StarrocksGenericAssayMapper.xml,src/main/resources/mappers/starrocks/sample/StarrocksSampleMapper.xml,src/main/resources/org/cbioportal/legacy/persistence/mybatis/AlterationCountsMapper.xml,src/main/resources/org/cbioportal/legacy/persistence/mybatis/ClinicalAttributeMapper.xml,src/main/resources/org/cbioportal/legacy/persistence/mybatis/ClinicalDataMapper.xml,src/main/resources/org/cbioportal/legacy/persistence/mybatis/ClinicalEventMapper.xml,src/main/resources/org/cbioportal/legacy/persistence/mybatis/CopyNumberSegmentMapper.xml,src/main/resources/org/cbioportal/legacy/persistence/mybatis/DiscreteCopyNumberMapper.xml,src/main/resources/org/cbioportal/legacy/persistence/mybatis/GenePanelMapper.xml,src/main/resources/org/cbioportal/legacy/persistence/mybatis/MolecularProfileMapper.xml,src/main/resources/org/cbioportal/legacy/persistence/mybatis/NamespaceMapper.xml,src/main/resources/org/cbioportal/legacy/persistence/mybatis/PatientMapper.xml,src/main/resources/org/cbioportal/legacy/persistence/mybatis/ResourceDataMapper.xml,src/main/resources/org/cbioportal/legacy/persistence/mybatis/ResourceDefinitionMapper.xml,src/main/resources/org/cbioportal/legacy/persistence/mybatis/SampleListMapper.xml,src/main/resources/org/cbioportal/legacy/persistence/mybatis/SampleMapper.xml,src/main/resources/org/cbioportal/legacy/persistence/mybatis/SecurityMapper.xml,src/main/resources/org/cbioportal/legacy/persistence/mybatis/SignificantCopyNumberRegionMapper.xml,src/main/resources/org/cbioportal/legacy/persistence/mybatis/SignificantlyMutatedGeneMapper.xml,src/main/resources/org/cbioportal/legacy/persistence/mybatis/StructuralVariantMapper.xml,src/main/resources/org/cbioportal/legacy/persistence/mybatis/StudyMapper.xml,src/main/resources/org/cbioportal/legacy/persistence/mybatis/TreatmentMapper.xml,src/main/resources/org/cbioportal/persistence/mybatisclickhouse/StudyViewFilterMapper.xml,src/main/resources/org/cbioportal/persistence/mybatisclickhouse/StudyViewMapper.xml
cancer_study_tags	1	src/main/resources/org/cbioportal/legacy/persistence/mybatis/StudyMapper.xml
clinical_attribute_meta	8	src/main/resources/mappers/clickhouse/clinical_attributes/ClickhouseClinicalAttributesMapper.xml,src/main/resources/mappers/clickhouse/clinical_data/ClickhouseClinicalDataMapper.xml,src/main/resources/mappers/clickhouse/studyview/ClickhouseStudyViewFilterMapper.xml,src/main/resources/mappers/starrocks/clinical_attributes/StarrocksClinicalAttributesMapper.xml,src/main/resources/mappers/starrocks/clinical_data/StarrocksClinicalDataMapper.xml,src/main/resources/org/cbioportal/legacy/persistence/mybatis/ClinicalAttributeMapper.xml,src/main/resources/org/cbioportal/legacy/persistence/mybatis/ClinicalDataMapper.xml,src/main/resources/org/cbioportal/persistence/mybatisclickhouse/StudyViewMapper.xml
clinical_data_derived	6	src/main/resources/mappers/clickhouse/clinical_data/ClickhouseClinicalDataMapper.xml,src/main/resources/mappers/clickhouse/studyview/ClickhouseStudyViewFilterMapper.xml,src/main/resources/mappers/starrocks/clinical_data/StarrocksClinicalDataMapper.xml,src/main/resources/mappers/starrocks/studyview/StarrocksStudyViewFilterMapper.xml,src/main/resources/org/cbioportal/persistence/mybatisclickhouse/StudyViewFilterMapper.xml,src/main/resources/org/cbioportal/persistence/mybatisclickhouse/StudyViewMapper.xml
clinical_event_data	2	src/main/resources/org/cbioportal/legacy/persistence/mybatis/ClinicalEventMapper.xml,src/main/resources/org/cbioportal/legacy/persistence/mybatis/TreatmentMapper.xml
clinical_event_data_derived	10	src/main/resources/mappers/clickhouse/cancerstudy/CancerStudyMapper.xml,src/main/resources/mappers/clickhouse/clinical_event/ClickhouseClinicalEventMapper.xml,src/main/resources/mappers/clickhouse/studyview/ClickhouseStudyViewFilterMapper.xml,src/main/resources/mappers/clickhouse/treatment/ClickhouseTreatmentMapper.xml,src/main/resources/mappers/starrocks/cancerstudy/StarrocksCancerStudyMapper.xml,src/main/resources/mappers/starrocks/clinical_event/StarrocksClinicalEventMapper.xml,src/main/resources/mappers/starrocks/studyview/StarrocksStudyViewFilterMapper.xml,src/main/resources/mappers/starrocks/treatment/StarrocksTreatmentMapper.xml,src/main/resources/org/cbioportal/persistence/mybatisclickhouse/StudyViewFilterMapper.xml,src/main/resources/org/cbioportal/persistence/mybatisclickhouse/StudyViewMapper.xml
clinical_event_derived	3	src/main/resources/org/cbioportal/legacy/persistence/mybatis/ClinicalEventMapper.xml,src/main/resources/org/cbioportal/legacy/persistence/mybatis/StudyMapper.xml,src/main/resources/org/cbioportal/legacy/persistence/mybatis/TreatmentMapper.xml
clinical_patient	2	src/main/resources/org/cbioportal/legacy/persistence/mybatis/ClinicalAttributeMapper.xml,src/main/resources/org/cbioportal/legacy/persistence/mybatis/ClinicalDataMapper.xml
clinical_sample	2	src/main/resources/org/cbioportal/legacy/persistence/mybatis/ClinicalAttributeMapper.xml,src/main/resources/org/cbioportal/legacy/persistence/mybatis/ClinicalDataMapper.xml
cna_event	2	src/main/resources/org/cbioportal/legacy/persistence/mybatis/AlterationCountsMapper.xml,src/main/resources/org/cbioportal/legacy/persistence/mybatis/DiscreteCopyNumberMapper.xml
copy_number_seg	1	src/main/resources/org/cbioportal/legacy/persistence/mybatis/CopyNumberSegmentMapper.xml
data_access_tokens	1	src/main/resources/org/cbioportal/legacy/persistence/mybatis/DataAccessTokenMapper.xml
