table	column	type	nullable	key_model	sort_key	distribution	fixture_rows
allele_specific_copy_number	mutation_event_id	BIGINT	NO	DUPLICATE KEY	mutation_event_id	HASH(mutation_event_id)/1	1
allele_specific_copy_number	genetic_profile_id	BIGINT	NO	DUPLICATE KEY	mutation_event_id	HASH(mutation_event_id)/1	1
allele_specific_copy_number	sample_id	BIGINT	NO	DUPLICATE KEY	mutation_event_id	HASH(mutation_event_id)/1	1
allele_specific_copy_number	ascn_integer_copy_number	BIGINT	YES	DUPLICATE KEY	mutation_event_id	HASH(mutation_event_id)/1	1
allele_specific_copy_number	ascn_method	VARCHAR(2048)	NO	DUPLICATE KEY	mutation_event_id	HASH(mutation_event_id)/1	1
allele_specific_copy_number	ccf_expected_copies_upper	DOUBLE	YES	DUPLICATE KEY	mutation_event_id	HASH(mutation_event_id)/1	1
allele_specific_copy_number	ccf_expected_copies	DOUBLE	YES	DUPLICATE KEY	mutation_event_id	HASH(mutation_event_id)/1	1
allele_specific_copy_number	clonal	VARCHAR(2048)	YES	DUPLICATE KEY	mutation_event_id	HASH(mutation_event_id)/1	1
allele_specific_copy_number	minor_copy_number	BIGINT	YES	DUPLICATE KEY	mutation_event_id	HASH(mutation_event_id)/1	1
allele_specific_copy_number	expected_alt_copies	BIGINT	YES	DUPLICATE KEY	mutation_event_id	HASH(mutation_event_id)/1	1
allele_specific_copy_number	total_copy_number	BIGINT	YES	DUPLICATE KEY	mutation_event_id	HASH(mutation_event_id)/1	1
alteration_driver_annotation	alteration_event_id	BIGINT	NO	DUPLICATE KEY	alteration_event_id	HASH(alteration_event_id)/1	3
alteration_driver_annotation	genetic_profile_id	BIGINT	NO	DUPLICATE KEY	alteration_event_id	HASH(alteration_event_id)/1	3
alteration_driver_annotation	sample_id	BIGINT	NO	DUPLICATE KEY	alteration_event_id	HASH(alteration_event_id)/1	3
alteration_driver_annotation	driver_filter	VARCHAR(2048)	YES	DUPLICATE KEY	alteration_event_id	HASH(alteration_event_id)/1	3
alteration_driver_annotation	driver_filter_annotation	VARCHAR(2048)	YES	DUPLICATE KEY	alteration_event_id	HASH(alteration_event_id)/1	3
alteration_driver_annotation	driver_tiers_filter	VARCHAR(2048)	YES	DUPLICATE KEY	alteration_event_id	HASH(alteration_event_id)/1	3
alteration_driver_annotation	driver_tiers_filter_annotation	VARCHAR(2048)	YES	DUPLICATE KEY	alteration_event_id	HASH(alteration_event_id)/1	3
authorities	email	VARCHAR(255)	NO	DUPLICATE KEY	email	HASH(email)/1	0
